     Multi line      Init line     Section ID    Edge length
              1              1              0             42
              2              2              0             42
              3              3              0             42
              4              4              0             42
              5              5              0             42
              6              6              0             42
              7              7              0             42
              8              8              0             42
              9              9              0             42
             10             10              0             42
             11             11              0             42
             12             12              0             42
             13              1              1             42
             14              2              1             42
             15              3              1             42
             16              4              1             42
             17              5              1             42
             18              6              1             42
             19              7              1             42
             20              8              1             42
             21              9              1             42
             22             10              1             42
             23             11              1             42
             24             12              1             42
             25              1              2             43
             26              2              2             43
             27              3              2             43
             28              4              2             43
             29              5              2             43
             30              6              2             43
             31              7              2             43
             32              8              2             43
             33              9              2             43
             34             10              2             43
             35             11              2             43
             36             12              2             43
             37              1              3             63
             38              2              3             63
             39              3              3             63
             40              4              3             63
             41              5              3             63
             42              6              3             63
             43              7              3             63
             44              8              3             63
             45              9              3             63
             46             10              3             63
             47             11              3             63
             48             12              3             63
             49              1              4             63
             50              2              4             63
             51              3              4             63
             52              4              4             63
             53              5              4             63
             54              6              4             63
             55              7              4             63
             56              8              4             63
             57              9              4             63
             58             10              4             63
             59             11              4             63
             60             12              4             63
             61              1              5             43
             62              2              5             43
             63              3              5             43
             64              4              5             43
             65              5              5             43
             66              6              5             43
             67              7              5             43
             68              8              5             43
             69              9              5             43
             70             10              5             43
             71             11              5             43
             72             12              5             43

    Edge length# of multi line
             42             24
             43             24
             63             24
