Start,End,Sequence,Length,Color
13[68],9[67],????????????????????????????,28,#7300de
3[40],15[31],??????????????????????????????????,34,#f7931e
14[137],13[137],????????????????????????,24,#aaaa00
7[44],9[50],?????????????????????,21,#cc0000
5[40],18[30],??????????????????????????????????????????,42,#888888
17[61],13[67],???????????????????????????????????,35,#aaaa00
21[61],3[57],?????????????????????????,25,#03b6a2
22[92],23[102],????????????????????????????,28,#f7931e
7[90],22[93],???????????????????????????,27,#7300de
11[51],19[60],????????????????????????,24,#f7931e
2[141],1[141],??????????????????,18,#888888
3[44],7[43],????????????????????????????,28,#7300de
17[110],21[109],????????????????????????????,28,#57bb00
1[94],16[94],??????????????????????,22,#007200
21[110],23[123],????????????????????????????,28,#b8056c
12[122],14[115],????????????????????????????????????,36,#7300de
11[89],5[80],????????????????????,20,#f7931e
18[29],15[46],???????????????????????????????????,35,#aaaa00
22[29],3[39],??????????????????????????????????????????,42,#888888
15[14],12[23],?????????????????????????????????,33,#aaaa00
5[81],13[72],??????????????????????????????????,34,#888888
23[124],10[123],???????????????????,19,#57bb00
14[122],1[107],???????????????????????????????????,35,#333333
23[18],5[39],??????????????????????????????????????????????????,50,#1700de
7[65],11[72],??????????????????????????????????????????????????,50,#aaaa00
3[103],13[95],?????????????????????????????????????????????????,49,#7300de
11[73],13[88],????????????????????????????????????????????,44,#1700de
3[129],7[141],?????????????????????????????????????????,41,#888888
5[59],13[50],??????????????????????????????????,34,#1700de
22[71],11[88],???????????????????????????????????,35,#007200
1[103],1[93],?????????????????????????????????,33,#888888
20[93],21[102],?????????????????????????????,29,#aaaa00
15[32],17[17],????????????????????????,24,#f74308
14[114],17[109],?????????????????????????????,29,#007200
20[114],14[123],??????????????????????????????????,34,#03b6a2
3[58],15[50],???????????????????????????????????,35,#f7931e
8[137],6[115],?????????????????????????????????????,37,#7300de
17[103],13[109],???????????????????????????????????,35,#f7931e
23[44],5[58],???????????????????????????????????????????,43,#7300de
3[18],5[17],????????????????????????,24,#7300de
0[141],3[128],?????????????????????????????????,33,#333333
7[115],21[123],?????????????????????????????????????,37,#333333
12[22],9[22],??????????????????,18,#f74308
19[18],21[17],????????????????????????,24,#1700de
7[103],7[89],?????????????????????????????,29,#57bb00
6[141],5[141],??????????????????,18,#333333
15[47],11[46],????????????????????????????,28,#03b6a2
13[73],16[74],???????????????????????????????????,35,#7300de
13[14],15[13],??????????????????,18,#7300de
16[73],19[64],???????????????????????????,27,#03b6a2
23[103],4[95],????????????????????????????????????????,40,#03b6a2
13[96],19[102],???????????????????????????????????,35,#b8056c
3[65],7[64],????????????????????????????,28,#7300de
13[110],9[109],????????????????????????????,28,#cc0000
13[51],17[60],????????????????????????,24,#888888
23[65],9[88],??????????????????????????????????????,38,#03b6a2
19[65],23[64],????????????????????????????,28,#aaaa00
18[141],17[141],??????????????????,18,#888888
19[61],1[60],????????????????????????????,28,#aaaa00
15[51],19[43],???????????????????????????????????,35,#f74308
1[108],5[107],????????????????????????????,28,#b8056c
16[141],23[141],??????????????????????????????????????????????????????????????????????????,74,#333333
13[89],3[81],?????????????????????,21,#f74308
20[141],19[141],??????????????????,18,#aaaa00
18[114],15[137],???????????????????????????????????????????,43,#888888
9[14],11[13],??????????????????,18,#f74308
4[141],3[141],??????????????????,18,#333333
15[89],1[81],?????????????????????,21,#03b6a2
16[93],17[102],?????????????????????????????,29,#f7931e
9[89],22[72],???????????????????????????????????,35,#333333
11[14],13[13],??????????????????,18,#aaaa00
20[29],1[39],??????????????????????????????????????????,42,#f74308
12[137],11[137],????????????????????????,24,#f7931e
22[141],21[141],??????????????????,18,#333333
19[103],1[102],????????????????????????????,28,#7300de
9[110],7[102],?????????????????????,21,#cc0000
7[18],22[30],????????????????????????????????????,36,#007200
3[82],15[88],?????????????????????????????????????????????????,49,#888888
21[18],23[17],????????????????????????,24,#007200
1[82],3[64],???????????????????????????????????????,39,#888888
1[61],3[43],???????????????????????????????????????,39,#007200
9[68],7[57],??????????????????,18,#f74308
9[51],21[60],????????????????????????,24,#b8056c
21[103],3[102],????????????????????????????,28,#cc0000
5[18],7[17],????????????????????????,24,#f7931e
5[108],7[114],?????????????????????,21,#007200
21[124],12[123],???????????????????,19,#aaaa00
10[122],18[115],??????????????????????????????????????????????????,50,#7300de
17[18],19[17],????????????????????????,24,#1700de
7[58],11[50],???????????????????????????????????,35,#cc0000
4[94],20[94],???????????????????????????????????????????,43,#333333
7[40],20[30],??????????????????????????????????????????,42,#f7931e
1[40],1[17],??????????????????????????????,30,#57bb00
1[18],3[17],????????????????????????,24,#f74308
19[44],23[43],????????????????????????????,28,#888888
10[137],9[137],????????????????????????,24,#007200
6[114],20[115],????????????????????????????,28,#1700de
11[47],7[39],???????????????????????????????????,35,#888888
9[23],9[13],???????????????????????,23,#1700de
